latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.384,142.805,328.2,1.1,1,2018-10-17,0055,T,71,6.0NRT,297.4,18.3,D
-12.393,142.804,321.3,1.1,1,2018-10-17,0055,T,39,6.0NRT,297.4,10.2,D
-12.282,141.72,320.3,1,1,2018-10-17,0055,T,16,6.0NRT,299.1,7.6,D
-12.484,142.749,326.9,1.1,1,2018-10-17,0055,T,63,6.0NRT,300.6,13.6,D
-12.787,143.126,319.8,1.1,1,2018-10-17,0055,T,38,6.0NRT,295.1,10.8,D
-12.798,142.885,329.9,1.1,1,2018-10-17,0055,T,74,6.0NRT,303,17.6,D
-12.823,143.064,325.6,1.1,1,2018-10-17,0055,T,70,6.0NRT,300.6,14.2,D
-12.834,143.144,338.3,1.1,1,2018-10-17,0055,T,86,6.0NRT,298.2,38,D
-12.835,143.154,322.4,1.1,1,2018-10-17,0055,T,27,6.0NRT,295.3,15,D
-12.807,142.883,322.5,1.1,1,2018-10-17,0055,T,50,6.0NRT,302.6,8.4,D
-12.808,142.893,325.8,1.1,1,2018-10-17,0055,T,70,6.0NRT,300.7,13.3,D
-12.875,143.098,327.2,1.1,1,2018-10-17,0055,T,34,6.0NRT,299.8,16,D
-12.88,143.066,330,1.1,1,2018-10-17,0055,T,51,6.0NRT,300.9,18,D
-12.887,143.045,326,1.1,1,2018-10-17,0055,T,7,6.0NRT,300.7,12.6,D
-12.888,143.055,332.2,1.1,1,2018-10-17,0055,T,64,6.0NRT,300.6,20.3,D
-12.893,143.048,324.6,1.1,1,2018-10-17,0055,T,67,6.0NRT,300.9,12.6,D
-12.934,141.646,354.5,1,1,2018-10-17,0055,T,96,6.0NRT,304.6,58.1,D
-12.935,141.655,347.6,1,1,2018-10-17,0055,T,92,6.0NRT,305.4,43.7,D
-12.262,135.8,317.1,1.8,1.3,2018-10-17,0055,T,21,6.0NRT,291.5,8.9,D
-13.543,142.964,342.7,1.1,1,2018-10-17,0055,T,89,6.0NRT,306.9,37.8,D
-13.545,142.974,336.6,1.1,1,2018-10-17,0055,T,84,6.0NRT,306.4,25.8,D
-13.554,142.972,335.5,1.1,1,2018-10-17,0055,T,83,6.0NRT,307.9,23.3,D
-12.553,136.095,327.5,1.7,1.3,2018-10-17,0055,T,68,6.0NRT,292.4,31.9,D
-12.72,136.328,328.8,1.6,1.3,2018-10-17,0055,T,78,6.0NRT,295.6,31.1,D
-13.74,142.986,328.9,1.1,1.1,2018-10-17,0055,T,42,6.0NRT,308,8.5,D
-13.731,142.853,335.6,1.1,1,2018-10-17,0055,T,67,6.0NRT,307.7,20.1,D
-13.756,142.828,330.4,1.1,1,2018-10-17,0055,T,48,6.0NRT,308.1,13.5,D
-13.766,142.827,330.4,1.1,1,2018-10-17,0055,T,74,6.0NRT,306.5,15.3,D
-13.781,142.829,328,1.1,1,2018-10-17,0055,T,50,6.0NRT,305.1,10.9,D
-13.728,141.729,326.2,1,1,2018-10-17,0055,T,53,6.0NRT,304.5,7.4,D
-13.737,141.794,333.7,1,1,2018-10-17,0055,T,69,6.0NRT,306.3,17.3,D
-13.734,141.709,330.4,1,1,2018-10-17,0055,T,71,6.0NRT,305.1,12.1,D
-12.958,136.237,324.2,1.6,1.3,2018-10-17,0055,T,57,6.0NRT,294,20.1,D
-14.294,141.636,335,1,1,2018-10-17,0055,T,79,6.0NRT,306.7,13.9,D
-14.295,141.646,333,1,1,2018-10-17,0055,T,76,6.0NRT,306.6,11.3,D
-13.665,135.778,328.3,1.7,1.3,2018-10-17,0055,T,75,6.0NRT,297.1,30.1,D
-13.667,135.794,322.5,1.7,1.3,2018-10-17,0055,T,42,6.0NRT,295.2,14.7,D
-15.692,144.94,329.9,1.5,1.2,2018-10-17,0055,T,63,6.0NRT,305.4,20.8,D
-15.693,144.954,327.8,1.5,1.2,2018-10-17,0055,T,38,6.0NRT,306.5,17,D
-15.715,144.842,331.6,1.5,1.2,2018-10-17,0055,T,79,6.0NRT,301.6,35.5,D
-15.726,144.928,333.4,1.5,1.2,2018-10-17,0055,T,81,6.0NRT,303.5,33.7,D
-15.762,145.127,336.4,1.6,1.2,2018-10-17,0055,T,81,6.0NRT,300.7,45.6,D
-15.764,145.142,335.9,1.6,1.2,2018-10-17,0055,T,84,6.0NRT,302.8,46.2,D
-15.737,144.84,325.3,1.5,1.2,2018-10-17,0055,T,61,6.0NRT,302.4,19.4,D
